date,group,requested_ticker,requested_label,ticker,name,uid,figi,history_id_used,history_id_type,daily_last_price
2021-01-19,equities,IMOEX,MOEX Russia Index,IMOEX,Индекс МосБиржи,4821c9aa-36e8-4743-b37c-861e58581b25,BBG00KDWPPW2,4821c9aa-36e8-4743-b37c-861e58581b25,uid,3443.23
2021-01-20,equities,IMOEX,MOEX Russia Index,IMOEX,Индекс МосБиржи,4821c9aa-36e8-4743-b37c-861e58581b25,BBG00KDWPPW2,4821c9aa-36e8-4743-b37c-861e58581b25,uid,3466.8
2021-01-21,equities,IMOEX,MOEX Russia Index,IMOEX,Индекс МосБиржи,4821c9aa-36e8-4743-b37c-861e58581b25,BBG00KDWPPW2,4821c9aa-36e8-4743-b37c-861e58581b25,uid,3422.67
2021-01-22,equities,IMOEX,MOEX Russia Index,IMOEX,Индекс МосБиржи,4821c9aa-36e8-4743-b37c-861e58581b25,BBG00KDWPPW2,4821c9aa-36e8-4743-b37c-861e58581b25,uid,3382.92
2021-01-25,equities,IMOEX,MOEX Russia Index,IMOEX,Индекс МосБиржи,4821c9aa-36e8-4743-b37c-861e58581b25,BBG00KDWPPW2,4821c9aa-36e8-4743-b37c-861e58581b25,uid,3397.48
2021-01-26,equities,IMOEX,MOEX Russia Index,IMOEX,Индекс МосБиржи,4821c9aa-36e8-4743-b37c-861e58581b25,BBG00KDWPPW2,4821c9aa-36e8-4743-b37c-861e58581b25,uid,3390.76
2021-01-27,equities,IMOEX,MOEX Russia Index,IMOEX,Индекс МосБиржи,4821c9aa-36e8-4743-b37c-861e58581b25,BBG00KDWPPW2,4821c9aa-36e8-4743-b37c-861e58581b25,uid,3343.62
2021-01-28,equities,IMOEX,MOEX Russia Index,IMOEX,Индекс МосБиржи,4821c9aa-36e8-4743-b37c-861e58581b25,BBG00KDWPPW2,4821c9aa-36e8-4743-b37c-861e58581b25,uid,3342.01
2021-01-29,equities,IMOEX,MOEX Russia Index,IMOEX,Индекс МосБиржи,4821c9aa-36e8-4743-b37c-861e58581b25,BBG00KDWPPW2,4821c9aa-36e8-4743-b37c-861e58581b25,uid,3277.08
2021-02-01,equities,IMOEX,MOEX Russia Index,IMOEX,Индекс МосБиржи,4821c9aa-36e8-4743-b37c-861e58581b25,BBG00KDWPPW2,4821c9aa-36e8-4743-b37c-861e58581b25,uid,3291.14
